date,name,discount_percent,rating_percent,sale_price,normal_price,steam_appid,deal_rating,year
12/8/25,Asteroid Core,95.095095,66,0.49,9.99,2608120,0.6,2025
12/8/25,Just Move:Clean City Messy Battle,95.059412,0,0.79,15.99,3414900,1.9,
12/8/25,Just Move Fall Dungeon Endless Abyss,95.059412,0,0.79,15.99,3856040,3.6,
12/8/25,Playing History: Vikings,95.055915,80,0.84,16.99,368760,3.7,
12/8/25,Mr Nibbles Forever,95.055915,87,0.84,16.99,448050,3.7,
12/8/25,Dead End Job,95.055915,75,0.84,16.99,827610,3.1,
12/8/25,Jad,95.055915,77,0.84,16.99,1447060,3.9,
12/8/25,Playing History - The Plague,95.055915,80,0.84,16.99,395920,3.7,
12/8/25,Take the Cake,95.055915,85,0.84,16.99,500440,3.9,
12/8/25,Braveland Pirate,95.047524,88,0.99,19.99,391490,7.1,
12/8/25,Everspace,95.047524,77,0.99,19.99,396750,9,
12/8/25,Swordship,95.047524,86,0.99,19.99,1804270,6.7,
12/8/25,BookyPets Legends,95.047524,0,0.99,19.99,2304310,3.1,
12/8/25,The Great Axe,95.047524,83,0.99,19.99,3592340,4.7,
12/8/25,One Chance,95.047524,90,0.99,19.99,2862040,3.3,
12/8/25,Lunatic Taxi Driver,95.047524,84,0.99,19.99,2862030,3.3,
12/8/25,Desert Special Forces,95.047524,76,0.99,19.99,2805640,3.3,
12/8/25,Fight till the End!,95.047524,66,0.99,19.99,2805660,3.3,
12/8/25,Wild Animals Transporter,95.047524,100,0.99,19.99,2862060,3.3,
12/8/25,Animals vs Animals,95.047524,91,0.99,19.99,2805620,3.3,
12/8/25,Falco Tunes,95.047524,100,0.99,19.99,2930390,3.3,
12/8/25,Fox Golf,95.047524,92,0.99,19.99,2833820,3.3,
12/8/25,BotMobile,95.047524,100,0.99,19.99,2805630,3.3,
12/8/25,Go Kart Survival,95.047524,70,0.99,19.99,713570,3.7,
12/8/25,The Mythical City 3,95.047524,100,0.99,19.99,2999810,3.4,
12/8/25,The Mythical City 2,95.047524,71,0.99,19.99,2999800,3.3,
12/8/25,Deadly Premonition: The Director's Cut,95.038015,65,1.24,24.99,247660,8.2,
12/8/25,Dreadlands,95.038015,57,1.24,24.99,1054690,6.3,
12/8/25,In a search of a new home,95.038015,55,1.24,24.99,1284510,3.3,
12/8/25,Spring Flower,95.038015,90,1.24,24.99,1537600,3.5,
12/8/25,True Spring Love,95.038015,100,1.24,24.99,1568960,3.5,
12/8/25,Otaku Club,95.038015,80,1.24,24.99,1576550,3.5,
12/8/25,Sweety Little Witch,95.038015,100,1.24,24.99,1634750,3.5,
12/8/25,Hot Summer,95.038015,80,1.24,24.99,1646890,3.5,
12/8/25,Endless Love,95.038015,61,1.24,24.99,1660420,3.5,
12/8/25,Follow Your Heart,95.038015,100,1.24,24.99,1687030,3.5,
12/8/25,Time Lock VR-2,95.038015,87,1.24,24.99,1724000,7.4,
12/8/25,Space Route,95.038015,90,1.24,24.99,2063560,3.3,
12/8/25,Space Accident VR,95.038015,84,1.24,24.99,2696780,7.4,
12/8/25,Not a Masterpece,95.038015,91,1.24,24.99,2898740,3.3,
12/8/25,Where's My Helmet?,95.031677,71,1.49,29.99,470450,3.7,
12/8/25,Warhammer: Vermintide 2,95.031677,89,1.49,29.99,552500,8.2,
12/8/25,Trailblazers,95.031677,53,1.49,29.99,621970,4.6,
12/8/25,Firelight Fantasy: Force Energy,95.031677,81,1.49,29.99,1619330,7.4,
12/8/25,Firelight Fantasy: Vengeance,95.031677,80,1.49,29.99,1668780,8.3,
12/8/25,SPACE ACCIDENT,95.031677,83,1.49,29.99,1852830,0,
12/8/25,Rich Taste of Ecchi,95.031677,100,1.49,29.99,2015260,3.7,
12/8/25,Wavetale,95.031677,88,1.49,29.99,1823930,8.5,
12/8/25,Urban,95.031677,0,1.49,29.99,2996430,3.9,
12/8/25,PIZZA WESTERN,95.031677,90,1.49,29.99,3203320,4.4,
12/8/25,Survive Isolation,95.031677,90,1.49,29.99,1639090,3.8,
12/8/25,Mambo Wave,95.031677,100,1.49,29.99,1478030,3.8,
12/8/25,Dangerous Arena,95.031677,76,1.49,29.99,2651760,3.8,
12/8/25,The Red Hood: Hunting the Wolf,95.031677,70,1.49,29.99,3238780,4.8,
12/8/25,Stickman Synthwave Escape,95.031677,75,1.49,29.99,1994350,3.7,
12/8/25,Skullbreaker,95.031677,100,1.49,29.99,4052250,5.6,
12/8/25,EmberStride,95.031677,91,1.49,29.99,4043270,5.6,
12/8/25,Deadly Premonition 2: A Blessing in Disguise,95.023756,70,1.99,39.99,1271100,7.9,
12/8/25,Flying Tobacco Eggs,95.023756,84,1.99,39.99,2999770,3.3,
12/8/25,Adventures with Alan Parkour 3D,95.023756,92,1.99,39.99,2540410,3.2,
12/8/25,SCALEPLANET,95.021116,100,2.24,44.99,1922360,3.2,
12/8/25,Shiny Summer,95.019004,83,2.49,49.99,1412120,3.5,
12/8/25,Among School Girls,95.019004,76,2.49,49.99,1427140,3.5,
12/8/25,Dark Lady,95.019004,100,2.49,49.99,2080670,3.5,
