internalName,title,metacriticLink,dealID,storeID,gameID,salePrice,normalPrice,isOnSale,savings,metacriticScore,steamRatingText,steamRatingPercent,steamRatingCount,steamAppID,releaseDate,lastChange,dealRating,thumb,release_date,release_year,date
CUBEDODGE,Cube Dodge,/game/cube-dodge/,5dmWASIZ1%2Bwvsd9F3NMUWt1apOlmuO5Z7Ef%2FF1MOvjY%3D,1,314187,0.79,15.99,1,95.059412,0,,0,0,2182710,1667260800,1770414706,2.9,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2182710/capsule_231x87.jpg?t=1767728752,2022-11-01 00:00:00+00:00,2022,11/01/22
STARHIVETHEMENACE,Star Hive: The Menace,/game/star-hive-the-menace/,%2FKD5o2nfM5BN3KtB%2FaWd8yLX972Weo033FXqE6pHJJM%3D,1,314188,0.79,15.99,1,95.059412,0,,0,0,2260310,1677715200,1770414706,2.9,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2260310/capsule_231x87.jpg?t=1710697160,2023-03-02 00:00:00+00:00,2023,03/02/23
EXTREMEOVERTAKE,Extreme Overtake,/game/extreme-overtake/,rE8me7jKWOD%2BlQMdVZ6znY%2BZuvAdwmcJr3ZDeWImL4Q%3D,1,314890,0.79,15.99,1,95.059412,0,,0,0,3138100,1733529600,1769470525,1.8,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3138100/617aa7c0ead778ef5cf439723f59feee5fe8a276/capsule_231x87.jpg?t=1752795324,2024-12-07 00:00:00+00:00,2024,12/07/24
JUSTMOVEFALLDUNGEONENDLESSABYSS,Just Move Fall Dungeon Endless Abyss,,MUcy6mJcRWSyRrVU6MGNcJAlsUpDljZNJMVL2vRQXV0%3D,1,315908,0.79,15.99,1,95.059412,0,,0,0,3856040,0,1770509356,3.1,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3856040/0936541b60f81a9ebde0c5a223ca1b1c466dde62/capsule_231x87.jpg?t=1764891731,1970-01-01 00:00:00+00:00,1970,01/01/70
UNCLAIMEDWORLD,Unclaimed World,/game/unclaimed-world/,oOIeSWUAU6bwhCt8eVnsnELwb%2FXff3yYYMvmf%2FezlBA%3D,1,107953,0.84,16.99,1,95.055915,0,Mixed,49,177,284100,1475539200,1770002642,6.3,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/284100/capsule_231x87.jpg?t=1487698153,2016-10-04 00:00:00+00:00,2016,10/04/16
EVERSPACE,Everspace,/game/everspace/,cmJeDS%2FYRfcKqU0nGBqIp0eYF5YrqMxmfQstbG36y5g%3D,1,157493,0.99,19.99,1,95.047524,79,Mostly Positive,77,5031,396750,1495670400,1770680964,9.2,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/396750/capsule_231x87.jpg?t=1762910991,2017-05-25 00:00:00+00:00,2017,05/25/17
BIKERGARAGEMECHANICSIMULATOR,Biker Garage: Mechanic Simulator,,dIprN6dylqA9wQJcEpWp06fFc5dG1%2B5akch8DDb7w%2FE%3D,1,207698,1.24,24.99,1,95.038015,0,Mixed,67,463,989770,0,1770325564,6.7,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/989770/capsule_231x87.jpg?t=1770738260,1970-01-01 00:00:00+00:00,1970,01/01/70
TRAILBLAZERS,Trailblazers,/game/trailblazers/,EHqvz5JEyuy01KCkaVg%2BLw0rbZjwsdLe2mcgudZnXVE%3D,1,186824,1.49,29.99,1,95.031677,69,Mixed,53,69,621970,1525737600,1770671971,4.7,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/621970/capsule_231x87.jpg?t=1587729040,2018-05-08 00:00:00+00:00,2018,05/08/18
NICKELODEONALLSTARBRAWL,Nickelodeon All-Star Brawl,/game/nickelodeon-all-star-brawl/,kRYxE%2B2XzOJxyNCkqYBKNZri%2BhoIyGcalDiHNUSIE9s%3D,1,235398,2.49,49.99,1,95.019004,63,Mostly Positive,75,3653,1414850,1633392000,1770076485,7.4,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1414850/capsule_231x87.jpg?t=1746026335,2021-10-05 00:00:00+00:00,2021,10/05/21
XCOM2,XCOM 2,/game/xcom-2/,IVj099Jarz6odiHw35jmGZyckpjmQeAmYI0%2BFyn8i1A%3D,1,145838,2.99,59.99,1,95.015836,88,Very Positive,85,43726,268500,1454544000,1770319339,0.0,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/268500/12fd345b4a53fb5880618e73fa122d809caf6884/capsule_231x87_alt_assets_1.jpg?t=1770163090,2016-02-04 00:00:00+00:00,2016,02/04/16
3DPUZZLESTEAMPUNKCITY,3D PUZZLE - Steampunk City,/game/3d-puzzle-steampunk-city/,aKZqpY6Nx0WSlR5R0Smz1qvfKTM1s70RsYf06bKpf5I%3D,1,315203,9.99,199.99,1,95.004750,0,Positive,100,10,3746490,1752796800,1769633366,0.0,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3746490/ac64661e7726ea7899dddc07ef9caae6ecc0e58b/capsule_231x87.jpg?t=1752870404,2025-07-18 00:00:00+00:00,2025,07/18/25
