title,normalPrice,salePrice,release_year
Frostpunk,29.99,2.99,2018
Lacuna  A Sci-Fi Noir Adventure,15.99,2.39,2021
The Last Campfire,14.99,1.49,2020
Planet Coaster,44.99,2.24,2016
Company of Heroes,19.99,3.99,2006
Sherlock Holmes: Crimes and Punishments,29.99,2.99,2014
The Innsmouth Case,12.49,1.24,2020
The Inner World - The Last Wind Monk,19.99,1.99,2017
Onde,13.99,1.39,2022
Super Meat Boy,14.99,1.19,2010
Sherlock Holmes: Chapter One,44.99,4.49,2021
Homeworld Remastered Collection,34.99,3.49,2015
MotoGP 14,9.99,0.99,2014
Battlefleet Gothic: Armada,14.99,1.49,2016
Endzone - A World Apart,24.99,2.49,2021
The Testament of Sherlock Holmes,19.99,1.99,2012
Dracula Origin,9.99,0.99,2008
Sherlock Holmes - Nemesis,9.99,0.99,2008
Sherlock Holmes The Awakened,39.99,3.99,2023
Sherlock Holmes: The Silver Earring,9.99,0.99,2004
